notarealmovie, fakegenre, fakedirector, fakeactor
Head of State,Comedy,Chris Rock,Bernie Mac
Head Over Heels,Comedy,Mark Waters,Monica Potter
Headhunters,Crime,Morten Tyldum,Aksel Hennie
Heartbeeps,Comedy,Allan Arkush,Bernadette Peters
Heartbreakers,Comedy,David Mirkin,Sarah Silverman
Hearts in Atlantis,Drama,Scott Hicks,Anthony Hopkins
Heaven Is for Real,Biography,Randall Wallace,Jacob Vargas
Heavenly Creatures,Biography,Peter Jackson,Kate Winslet
Heaven's Gate,Adventure,Michael Cimino,Jeff Bridges
Heavy Metal,Adventure,Gerald Potterton,John Vernon
Hedwig and the Angry Inch,Comedy,John Cameron Mitchell,John Cameron Mitchell
Heist,Action,Scott Mann,Robert De Niro
Heist,Action,Scott Mann,Robert De Niro
Held Up,Comedy,Steve Rash,Barry Corbin
Heli,Crime,Amat Escalante,Kenny Johnston
Hellboy,Action,Guillermo del Toro,James Babson
Hellboy II: The Golden Army,Action,Guillermo del Toro,Seth MacFarlane
Hellraiser,Fantasy,Clive Barker,Andrew Robinson
Hell's Angels,Drama,Howard Hughes,Jean Harlow
Henry & Me,Animation,Barrett Esposito,Chazz Palminteri
Henry V,Action,Kenneth Branagh,Brian Blessed
Her,Drama,Spike Jonze,Scarlett Johansson
Her Cry: La Llorona Investigation,Horror,Damir Catic,Nichole Ceballos
Hercules,Action,Brett Ratner,Dwayne Johnson
Hercules,Action,Brett Ratner,Dwayne Johnson
Here Comes the Boom,Action,Frank Coraci,Salma Hayek
Here on Earth,Drama,Mark Piznarski,Bruce Greenwood
Hero,Action,Yimou Zhang,Jet Li
Hero,Action,Yimou Zhang,Jet Li
Heroes of Dirt,Action,Eric Bugbee,Joel Moody
He's Just Not That Into You,Comedy,Ken Kwapis,Carmen Perez
Hesher,Drama,Spencer Susser,Joseph Gordon-Levitt
Hey Arnold! The Movie,Adventure,Tuck Tucker,Jennifer Jason Leigh
Hidalgo,Action,Joe Johnston,J.K. Simmons
Hidden Away,Drama,Mikel Rueda,Álex Angulo
Hide and Seek,Drama,John Polson,Robert De Niro
High Anxiety,Comedy,Mel Brooks,Madeline Kahn
High Crimes,Crime,Carl Franklin,Morgan Freeman
High Fidelity,Comedy,Stephen Frears,Drake Bell
High Heels and Low Lifes,Action,Mel Smith,Minnie Driver
High Noon,Thriller,Fred Zinnemann,Gary Cooper
High Plains Drifter,Mystery,Clint Eastwood,Clint Eastwood
High Road,Comedy,Matt Walsh,Joe Lo Truglio
High School Musical,Comedy,Kenny Ortega,Lucas Grabeel
High School Musical 2,Comedy,Kenny Ortega,Lucas Grabeel
High School Musical 3: Senior Year,Comedy,Kenny Ortega,Lucas Grabeel
High Tension,Horror,Alexandre Aja,Cécile De France
Higher Ground,Drama,Vera Farmiga,Donna Murphy
Highlander,Action,Russell Mulcahy,Christopher Lambert
Highlander: Endgame,Action,Douglas Aarniokoski,Christopher Lambert
Highlander: The Final Dimension,Action,Andrew Morahan,Christopher Lambert
Highway,Crime,James Cox,Jake Gyllenhaal
History of the World: Part I,Comedy,Mel Brooks,Madeline Kahn
History of the World: Part I,Comedy,Mel Brooks,Madeline Kahn
Hit and Run,Action,David Palmer,Bradley Cooper
Hitch,Comedy,Andy Tennant,Will Smith
Hitman,Action,Xavier Gens,Henry Ian Cusick
Hits,Comedy,David Cross,Jason Ritter
Hobo with a Shotgun,Action,Jason Eisener,Gregory Smith
Hocus Pocus,Comedy,Kenny Ortega,Vinessa Shaw
Hoffa,Biography,Danny DeVito,Frank Whaley
Holes,Adventure,Andrew Davis,Tim Blake Nelson
Hollow Man,Action,Paul Verhoeven,Greg Grunberg
Hollywood Ending,Comedy,Woody Allen,Woody Allen
Hollywood Homicide,Action,Ron Shelton,Harrison Ford
Hollywood Shuffle,Comedy,Robert Townsend,Robert Townsend
Holy Man,Comedy,Stephen Herek,Kelly Preston
Holy Motors,Drama,Leos Carax,Kylie Minogue
Home,Adventure,Tim Johnson,Jim Parsons
Home,Adventure,Tim Johnson,Jim Parsons
Home,Adventure,Tim Johnson,Jim Parsons
Home Alone,Comedy,Chris Columbus,Macaulay Culkin
Home Alone 2: Lost in New York,Adventure,Chris Columbus,Macaulay Culkin
Home for the Holidays,Comedy,Jodie Foster,Robert Downey Jr.
Home Fries,Comedy,Dean Parisot,Catherine O'Hara
Home on the Range,Animation,Will Finn,Steve Buscemi
Home Run,Drama,David Boyd,Vivica A. Fox
Homefront,Action,Gary Fleder,Jason Statham
Honey,Drama,Bille Woodruff,Christian Monzon
Hoodwinked Too! Hood vs. Evil,Animation,Mike Disa,Amy Poehler
Hoodwinked!,Action,Cory Edwards,Anne Hathaway
Hook,Adventure,Steven Spielberg,Robin Williams
Hoop Dreams,Documentary,Steve James,William Gates
Hoot,Adventure,Wil Shriner,Logan Lerman
Hop,Adventure,Tim Hill,Gary Cole
Hope Floats,Drama,Forest Whitaker,Bill Cobbs
Hope Springs,Comedy,David Frankel,Meryl Streep
Horrible Bosses,Comedy,Seth Gordon,Kevin Spacey
Horrible Bosses 2,Comedy,Sean Anders,Kevin Spacey
Horse Camp,Family,Joel Paul Reisig,Joshua Ray Bell
Hostage,Action,Florent-Emilio Siri,Jimmy Bennett
Hostel,Horror,Eli Roth,Jay Hernandez
Hostel: Part II,Horror,Eli Roth,Jay Hernandez
Hot Fuzz,Action,Edgar Wright,Bill Bailey
Hot Pursuit,Action,Anne Fletcher,Jim Gaffigan
Hot Rod,Comedy,Akiva Schaffer,Sissy Spacek
Hot Tub Time Machine,Comedy,Steve Pink,Charlie McDermott
Hot Tub Time Machine 2,Comedy,Steve Pink,Adam Scott
Hotel for Dogs,Comedy,Thor Freudenthal,Don Cheadle
Hotel Rwanda,Drama,Terry George,Don Cheadle
Hotel Transylvania,Animation,Genndy Tartakovsky,Steve Buscemi
Hotel Transylvania 2,Animation,Genndy Tartakovsky,Steve Buscemi
House at the End of the Drive,Horror,David Worth,Jessica Szohr
House at the End of the Street,Drama,Mark Tonderai,Jennifer Lawrence
House of 1000 Corpses,Horror,Rob Zombie,Sid Haig
House of D,Comedy,David Duchovny,Robin Williams
House of Flying Daggers,Action,Yimou Zhang,Takeshi Kaneshiro
House of Sand,Drama,Andrucha Waddington,Fernanda Montenegro
House of Sand and Fog,Drama,Vadim Perelman,Frances Fisher
House of Wax,Horror,Jaume Collet-Serra,Robert Ri'chard
House of Wax,Horror,Jaume Collet-Serra,Robert Ri'chard
House on Haunted Hill,Horror,William Malone,Jeffrey Combs
House Party 2,Comedy,George Jackson,William Schallert
Housebound,Comedy,Gerard Johnstone,Morgana O'Reilly
Housefull,Comedy,Sajid Khan,Arjun Rampal
How Do You Know,Comedy,James L. Brooks,Shelley Conn
How Green Was My Valley,Drama,John Ford,Roddy McDowall
How High,Comedy,Jesse Dylan,Hector Elizondo
How She Move,Drama,Ian Iqbal Rashid,DeRay Davis
How Stella Got Her Groove Back,Comedy,Kevin Rodney Sullivan,Richard Lawson
How the Grinch Stole Christmas,Comedy,Ron Howard,Clint Howard
How to Be a Player,Comedy,Lionel C. Martin,Bernie Mac
How to Be Single,Comedy,Christian Ditter,Alison Brie
How to Deal,Comedy,Clare Kilner,Dylan Baker
How to Fall in Love,Comedy,Mark Griffiths,Eric Mabius
How to Lose a Guy in 10 Days,Comedy,Donald Petrie,Matthew McConaughey
How to Lose Friends & Alienate People,Comedy,Robert B. Weide,James Corden
How to Train Your Dragon,Adventure,Dean DeBlois,Gerard Butler
How to Train Your Dragon 2,Action,Dean DeBlois,Gerard Butler
Howard the Duck,Action,Willard Huyck,Lea Thompson
Howards End,Drama,James Ivory,Anthony Hopkins
Howl's Moving Castle,Adventure,Hayao Miyazaki,Christian Bale
Hud,Drama,Martin Ritt,Patricia Neal
Hudson Hawk,Action,Michael Lehmann,Bruce Willis
Hugo,Adventure,Martin Scorsese,Chloë Grace Moretz
Hulk,Action,Ang Lee,Kevin Rankin
Hum To Mohabbat Karega,Action,Kundan Shah,Karisma Kapoor
Human Traffic,Comedy,Justin Kerrigan,Danny Dyer
Hurricane Streets,Crime,Morgan J. Freeman,Edie Falco
Hustle & Flow,Crime,Craig Brewer,Isaac Hayes
I Am Legend,Drama,Francis Lawrence,Will Smith
I Am Love,Drama,Luca Guadagnino,Flavio Parenti
I Am Sam,Drama,Jessie Nelson,Dianne Wiest
I Am Wrath,Action,Chuck Russell,Sam Trammell
I Can Do Bad All by Myself,Comedy,Tyler Perry,Eric Mendenhall
I Come with the Rain,Thriller,Tran Anh Hung,Takuya Kimura
I Don't Know How She Does It,Comedy,Douglas McGrath,Olivia Munn
I Dreamed of Africa,Adventure,Hugh Hudson,Liam Aiken
I Frankenstein,Action,Stuart Beattie,Caitlin Stasey
I Got the Hook Up,Comedy,Michael Martin,Joe Estevez
I Heart Huckabees,Comedy,David O. Russell,Naomi Watts
I Hope They Serve Beer in Hell,Comedy,Bob Gosse,Geoff Stults
I Know What You Did Last Summer,Horror,Jim Gillespie,Muse Watson
I Love You Beth Cooper,Comedy,Chris Columbus,Alan Ruck
I Love You Don't Touch Me!,Comedy,Julie Davis,Jack McGee
I Love You Man,Comedy,John Hamburg,J.K. Simmons
I Love You Phillip Morris,Biography,Glenn Ficarra,Dameon Clarke
I Love Your Work,Drama,Adam Goldberg,Judy Greer
I Married a Strange Person!,Animation,Bill Plympton,Charis Michelsen
I Origins,Drama,Mike Cahill,Steven Yeun
I Robot,Action,Alex Proyas,Will Smith
I Served the King of England,Comedy,Jirí Menzel,Julia Jentsch
I Spit on Your Grave,Horror,Steven R. Monroe,Sarah Butler
I Spy,Action,Betty Thomas,Gary Cole
I Still Know What You Did Last Summer,Horror,Danny Cannon,Muse Watson
I Think I Love My Wife,Comedy,Chris Rock,Steve Buscemi
I Want Someone to Eat Cheese With,Comedy,Jeff Garlin,Jessy Schram
I Want Your Money,Documentary,Ray Griggs,Bill Farmer
Ice Age,Adventure,Chris Wedge,Goran Visnjic
Ice Age: Continental Drift,Adventure,Steve Martino,Peter Dinklage
Ice Age: Dawn of the Dinosaurs,Action,Carlos Saldanha,Denis Leary
Ice Age: The Meltdown,Action,Carlos Saldanha,Denis Leary
Ice Princess,Comedy,Tim Fywell,Connie Ray
Ida,Drama,Pawel Pawlikowski,Joanna Kulig
Identity,Mystery,James Mangold,Clea DuVall
Identity Thief,Comedy,Seth Gordon,Jon Favreau
Idiocracy,Adventure,Mike Judge,Anthony 'Citric' Campos
Idle Hands,Comedy,Rodman Flender,Vivica A. Fox
Idlewild,Crime,Bryan Barber,Cicely Tyson
If I Stay,Drama,R.J. Cutler,Chloë Grace Moretz
Igby Goes Down,Comedy,Burr Steers,Kieran Culkin
Iguana,Adventure,Monte Hellman,Everett McGill
Illuminata,Drama,John Turturro,Beverly D'Angelo
I'm Not There.,Biography,Todd Haynes,Christian Bale
Imaginary Heroes,Comedy,Dan Harris,Kip Pardue
Imagine Me & You,Comedy,Ol Parker,Celia Imrie
Imagine That,Comedy,Karey Kirkpatrick,Stephen Root
Immortals,Action,Tarsem Singh,Henry Cavill
Impact Point,Thriller,Hayley Cloake,Brian Austin Green
Impostor,Drama,Gary Fleder,Gary Dourdan
In & Out,Comedy,Frank Oz,Tom Selleck
In Bruges,Comedy,Martin McDonagh,Elizabeth Berrington
In Cold Blood,Biography,Richard Brooks,John Forsythe
In Dreams,Drama,Neil Jordan,Robert Downey Jr.
In Good Company,Comedy,Paul Weitz,Scarlett Johansson
In Her Line of Fire,Action,Brian Trenchard-Smith,David Keith
In the Bedroom,Crime,Todd Field,Tom Wilkinson
In the Company of Men,Comedy,Neil LaBute,Stacy Edwards
In the Cut,Mystery,Jane Campion,Jennifer Jason Leigh
In the Heart of the Sea,Action,Ron Howard,Chris Hemsworth
In the Land of Blood and Honey,Drama,Angelina Jolie Pitt,Jelena Jovanova
In the Land of Women,Comedy,Jon Kasdan,Kristen Stewart
In the Name of the King: A Dungeon Siege Tale,Action,Uwe Boll,Jason Statham
In the Name of the King: The Last Job,Action,Uwe Boll,Bashar Rahal
In the Shadow of the Moon,Documentary,David Sington,John F. Kennedy
In the Valley of Elah,Crime,Paul Haggis,James Franco
In Time,Action,Andrew Niccol,Matt Bomer
In Too Deep,Crime,Michael Rymer,LL Cool J
Incendies,Drama,Denis Villeneuve,Lubna Azabal
Inchon,Drama,Terence Young,Laurence Olivier
Incident at Loch Ness,Adventure,Zak Penn,Zak Penn
Independence Day,Action,Roland Emmerich,Will Smith
Independence Day: Resurgence,Action,Roland Emmerich,Vivica A. Fox
Independence Daysaster,Action,W.D. Hogan,Tom Everett Scott
Indiana Jones and the Kingdom of the Crystal Skull,Action,Steven Spielberg,Harrison Ford
Indiana Jones and the Last Crusade,Action,Steven Spielberg,Harrison Ford
Indiana Jones and the Temple of Doom,Action,Steven Spielberg,Harrison Ford
Indie Game: The Movie,Documentary,Lisanne Pajot,Jonathan Blow
Indignation,Drama,James Schamus,Logan Lerman
Inescapable,Drama,Ruba Nadda,Saad Siddiqui
Infamous,Biography,Douglas McGrath,Toby Jones
Inglourious Basterds,Adventure,Quentin Tarantino,Michael Fassbender
Inherent Vice,Comedy,Paul Thomas Anderson,Martin Dew
Ink,Action,Jamin Winans,Eme Ikwuakor
Inkheart,Adventure,Iain Softley,Brendan Fraser
Inside Deep Throat,Biography,Fenton Bailey,Hugh M. Hefner
Inside Job,Crime,Charles Ferguson,Matt Damon
Inside Llewyn Davis,Drama,Ethan Coen,Justin Timberlake
Inside Man,Crime,Spike Lee,Denzel Washington
Inside Out,Adventure,Pete Docter,Amy Poehler
Insidious,Fantasy,James Wan,Lin Shaye
Insidious: Chapter 2,Fantasy,James Wan,Lin Shaye
Insidious: Chapter 3,Fantasy,Leigh Whannell,Lin Shaye
Insomnia,Drama,Christopher Nolan,Al Pacino
Insomnia Manica,Thriller,Daston Kalili,Daston Kalili
Inspector Gadget,Action,David Kellogg,Matthew Broderick
Instinct,Drama,Jon Turteltaub,Anthony Hopkins
Instructions Not Included,Comedy,Eugenio Derbez,Eugenio Derbez
Insurgent,Adventure,Robert Schwentke,Kate Winslet
Interstellar,Adventure,Christopher Nolan,Matthew McConaughey
Interview with the Assassin,Drama,Neil Burger,Raymond J. Barry
Interview with the Vampire: The Vampire Chronicles,Drama,Neil Jordan,Brad Pitt
Into the Blue,Action,John Stockwell,Paul Walker
Into the Grizzly Maze,Action,David Hackl,Scott Glenn
Into the Wild,Adventure,Sean Penn,Kristen Stewart
Into the Woods,Adventure,Rob Marshall,Johnny Depp
Intolerable Cruelty,Comedy,Joel Coen,Cedric the Entertainer
Intolerance: Love's Struggle Throughout the Ages,Drama,D.W. Griffith,Lillian Gish
Invaders from Mars,Horror,Tobe Hooper,Louise Fletcher
Invasion U.S.A.,Action,Joseph Zito,Billy Drago
Invictus,Biography,Clint Eastwood,Matt Damon
Ip Man 3,Action,Wilson Yip,Mike Tyson
Ira & Abby,Comedy,Robert Cary,Frances Conroy
Iraq for Sale: The War Profiteers,Documentary,Robert Greenwald,Scott Helvenston
Iris,Biography,Richard Eyre,Kate Winslet
Iron Man,Action,Jon Favreau,Robert Downey Jr.
Iron Man 2,Action,Jon Favreau,Robert Downey Jr.
Iron Man 3,Action,Shane Black,Robert Downey Jr.
Ironclad,Action,Jonathan English,Jason Flemyng
Irreplaceable,Comedy,Thomas Lilti,François Cluzet
Irreversible,Crime,Gaspar Noé,Philippe Nahon
Ishtar,Action,Elaine May,Carol Kane
Isn't She Great,Biography,Andrew Bergman,Stockard Channing
It Follows,Horror,David Robert Mitchell,Maika Monroe
It Happened One Night,Comedy,Frank Capra,Claudette Colbert
It's a Mad Mad Mad Mad World,Action,Stanley Kramer,Jonathan Winters
It's a Wonderful Afterlife,Comedy,Gurinder Chadha,Sendhil Ramamurthy
It's a Wonderful Life,Drama,Frank Capra,Donna Reed
It's All Gone Pete Tong,Biography,Michael Dowse,Paul Kaye
It's Complicated,Comedy,Nancy Meyers,Meryl Streep
It's Kind of a Funny Story,Comedy,Anna Boden,Zoë Kravitz
J. Edgar,Biography,Clint Eastwood,Leonardo DiCaprio
Jab Tak Hai Jaan,Drama,Yash Chopra,Shah Rukh Khan
Jack and Jill,Comedy,Dennis Dugan,Al Pacino
Jack Brooks: Monster Slayer,Action,Jon Knautz,Rachel Skarsten
Jack Reacher,Action,Christopher McQuarrie,Tom Cruise
Jack Reacher,Action,Christopher McQuarrie,Tom Cruise
Jack Ryan: Shadow Recruit,Action,Kenneth Branagh,Colm Feore
Jack the Giant Slayer,Adventure,Bryan Singer,Eddie Marsan
Jackass 3D,Action,Jeff Tremaine,Bam Margera
Jackass Number Two,Action,Jeff Tremaine,Bam Margera
Jackass: The Movie,Comedy,Jeff Tremaine,Bam Margera
Jackie Brown,Crime,Quentin Tarantino,Robert De Niro
Jade,Crime,William Friedkin,Michael Biehn
Jakob the Liar,Drama,Peter Kassovitz,Robin Williams
Jane Got a Gun,Action,Gavin O'Connor,Natalie Portman
Jarhead,Action,Sam Mendes,Jake Gyllenhaal
Jason Bourne,Action,Paul Greengrass,Matt Damon
Jason Goes to Hell: The Final Friday,Fantasy,Adam Marcus,Kane Hodder
Jason Lives: Friday the 13th Part VI,Horror,Tom McLoughlin,Tony Goldwyn
Jason X,Action,James Isaac,Peter Mensah
Jawbreaker,Comedy,Darren Stein,Julie Benz
Jaws,Adventure,Steven Spielberg,Roy Scheider
Jaws 2,Adventure,Jeannot Szwarc,Roy Scheider
Jaws: The Revenge,Adventure,Joseph Sargent,Judith Barsi
Jay and Silent Bob Strike Back,Comedy,Kevin Smith,Will Ferrell
Jeepers Creepers,Horror,Victor Salva,Eileen Brennan
Jeepers Creepers II,Horror,Victor Salva,Nicki Aycox
Jeff Who Lives at Home,Comedy,Jay Duplass,Judy Greer
Jefferson in Paris,Biography,James Ivory,Seth Gilliam
Jekyll and Hyde... Together Again,Comedy,Jerry Belson,Cassandra Peterson
Jennifer's Body,Comedy,Karyn Kusama,J.K. Simmons
Jerry Maguire,Comedy,Cameron Crowe,Tom Cruise
Jersey Boys,Biography,Clint Eastwood,Johnny Cannizzaro
Jersey Girl,Comedy,Kevin Smith,Stephen Root
Jesus People,Comedy,Jason Naumann,Victoria Jackson
Jesus' Son,Drama,Alison Maclean,Billy Crudup
JFK,Drama,Oliver Stone,Sally Kirkland
Jimmy and Judy,Crime,Randall Rubin,Nicole Randall Johnson
Jimmy Neutron: Boy Genius,Action,John A. Davis,Martin Short
Jindabyne,Crime,Ray Lawrence,John Howard
Jingle All the Way,Comedy,Brian Levant,Jim Belushi
Joe,Drama,David Gordon Green,Nicolas Cage
Joe Dirt,Adventure,Dennie Gordon,Brittany Daniel
Joe Somebody,Comedy,John Pasquin,Jim Belushi
John Carter,Action,Andrew Stanton,Daryl Sabara
John Q,Crime,Nick Cassavetes,Denzel Washington
Johnny English,Action,Peter Howitt,Kevin McNally
Johnny English Reborn,Action,Oliver Parker,Daniel Kaluuya
Johnny Suede,Comedy,Tom DiCillo,Brad Pitt
Johnson Family Vacation,Comedy,Christopher Erskin,Vanessa Williams
Jonah Hex,Action,Jimmy Hayward,Michael Fassbender
Jonah: A VeggieTales Movie,Adventure,Mike Nawrocki,Phil Vischer
Josie and the Pussycats,Comedy,Harry Elfont,Rosario Dawson
Journey 2: The Mysterious Island,Action,Brad Peyton,Josh Hutcherson
Journey from the Fall,Drama,Ham Tran,Long Nguyen
Journey to Saturn,Action,Thorbjørn Christoffersen,Iben Hjejle
Journey to the Center of the Earth,Action,Eric Brevig,Josh Hutcherson
Joy,Biography,David O. Russell,Jennifer Lawrence
Joy Ride,Mystery,John Dahl,Paul Walker
Joyeux Noel,Drama,Christian Carion,Gary Lewis
Joyful Noise,Comedy,Todd Graff,Dolly Parton
Judgment at Nuremberg,Drama,Stanley Kramer,Maximilian Schell
Julia,Drama,Fred Zinnemann,Meryl Streep
Julie & Julia,Biography,Nora Ephron,Meryl Streep
Julija in alfa Romeo,Comedy,Blaz Zavrsnik,Dario Nozic Serini
Jumper,Action,Doug Liman,Kristen Stewart
Jumping the Broom,Comedy,Salim Akil,Gary Dourdan
Jungle Shuffle,Adventure,Taedong Park,Drake Bell
Juno,Comedy,Jason Reitman,J.K. Simmons
Juno,Comedy,Jason Reitman,J.K. Simmons
Jupiter Ascending,Action,Lana Wachowski,Channing Tatum
Jurassic Park,Adventure,Steven Spielberg,Wayne Knight
Jurassic Park III,Action,Joe Johnston,Michael Jeter
Jurassic World,Action,Colin Trevorrow,Bryce Dallas Howard
Just Go with It,Comedy,Dennis Dugan,Adam Sandler
Just Like Heaven,Comedy,Mark Waters,Jon Heder
Just Looking,Comedy,Jason Alexander,Gretchen Mol
Just Married,Comedy,Shawn Levy,Taran Killam
Just My Luck,Comedy,Donald Petrie,Samaire Armstrong
Just Visiting,Comedy,Jean-Marie Poiré,Bridgette Wilson-Sampras
Just Wright,Comedy,Sanaa Hamri,Common
Justin Bieber: Never Say Never,Documentary,Jon M. Chu,Usher Raymond
Juwanna Mann,Comedy,Jesse Vaughan,Vivica A. Fox
K-19: The Widowmaker,Drama,Kathryn Bigelow,Liam Neeson
Kabhi Alvida Naa Kehna,Drama,Karan Johar,Shah Rukh Khan
Kama Sutra: A Tale of Love,Crime,Mira Nair,Indira Varma
Kangaroo Jack,Action,David McNally,Estella Warren
Kansas City,Crime,Robert Altman,Steve Buscemi
Karachi se Lahore,Comedy,Wajahat Rauf,Rasheed Naz
Kate & Leopold,Comedy,James Mangold,Hugh Jackman
Katy Perry: Part of Me,Documentary,Dan Cutforth,Lexie Contursi
Keanu,Action,Peter Atencio,Nia Long
Keeping the Faith,Comedy,Edward Norton,Lisa Edelstein
Keeping Up with the Steins,Comedy,Scott Marshall,Miranda Cosgrove
Kevin Hart: Laugh at My Pain,Comedy,Leslie Small,Isaac C. Singleton Jr.
Kevin Hart: Let Me Explain,Comedy,Leslie Small,David Jason Perez
Khiladi 786,Action,Ashish R. Mohan,Asin
Khumba,Adventure,Anthony Silverston,Liam Neeson
Kick-Ass,Action,Matthew Vaughn,Elizabeth McGovern
Kick-Ass 2,Action,Jeff Wadlow,Chloë Grace Moretz
Kickboxer: Vengeance,Action,John Stockwell,Matthew Ziff
Kicking & Screaming,Comedy,Jesse Dylan,Josh Hutcherson
Kicks,Adventure,Justin Tipping,Tina Gilton
Kids,Drama,Larry Clark,Rosario Dawson
Kill Bill: Vol. 1,Action,Quentin Tarantino,David Carradine
Kill Bill: Vol. 2,Action,Quentin Tarantino,Vivica A. Fox
Kill List,Crime,Ben Wheatley,MyAnna Buring
Kill the Messenger,Biography,Michael Cuesta,Jeremy Renner
Killer Elite,Action,Gary McKendry,Jason Statham
Killer Joe,Crime,William Friedkin,Matthew McConaughey
Killers,Action,Robert Luketic,Tom Selleck
Killing Them Softly,Crime,Andrew Dominik,Brad Pitt
Killing Zoe,Crime,Roger Avary,Eric Stoltz
Kindergarten Cop,Action,Ivan Reitman,Richard Tyson
King Kong,Action,Peter Jackson,Naomi Watts
King Kong,Action,Peter Jackson,Naomi Watts
King Kong,Action,Peter Jackson,Naomi Watts
Kingdom of Heaven,Action,Ridley Scott,Liam Neeson
Kingdom of the Spiders,Horror,John 'Bud' Cardos,Woody Strode
Kingpin,Comedy,Bobby Farrelly,Bill Murray
King's Ransom,Comedy,Jeffrey W. Byrd,Donald Faison
Kinsey,Biography,Bill Condon,Liam Neeson
Kiss Kiss Bang Bang,Comedy,Shane Black,Robert Downey Jr.
Kiss of Death,Action,Barbet Schroeder,Nicolas Cage
Kiss of the Dragon,Action,Chris Nahon,Jet Li
Kiss the Bride,Comedy,C. Jay Cox,Tori Spelling
Kiss the Girls,Crime,Gary Fleder,Morgan Freeman
Kissing Jessica Stein,Comedy,Charles Herman-Wurmfeld,Scott Cohen
Kit Kittredge: An American Girl,Drama,Patricia Rozema,Julia Ormond
Kites,Action,Anurag Basu,Bárbara Mori
Knight and Day,Action,James Mangold,Tom Cruise
Knock Off,Action,Hark Tsui,Paul Sorvino
Knockaround Guys,Crime,Brian Koppelman,Vin Diesel
Knocked Up,Comedy,Judd Apatow,Harold Ramis
